"_id","model","failures"
"ObjectId(""6661f052891a7f072ce79de1"")","ST8000NM0055",50
"ObjectId(""6661f052891a7f072ce79de2"")","HGST HUH721212ALN604",48
"ObjectId(""6661f052891a7f072ce79de3"")","ST4000DM000",27
"ObjectId(""6661f052891a7f072ce79de4"")","ST12000NM0008",24
"ObjectId(""6661f052891a7f072ce79de5"")","ST8000DM002",22
"ObjectId(""6661f052891a7f072ce79de6"")","TOSHIBA MG07ACA14TA",21
"ObjectId(""6661f052891a7f072ce79de7"")","ST10000NM0086",10
"ObjectId(""6661f052891a7f072ce79de8"")","HGST HMS5C4040BLE640",10
"ObjectId(""6661f052891a7f072ce79de9"")","HGST HUH721212ALE604",9
"ObjectId(""6661f052891a7f072ce79dea"")","WDC WUH721414ALE6L4",6
