"_id","vault_id","list_of_models","failures"
"ObjectId(""6661f053891a7f072ce79deb"")",1113,"[""HGST HUH721212ALN604""]",15
"ObjectId(""6661f053891a7f072ce79dec"")",1120,"[""HGST HUH721212ALN604""]",10
"ObjectId(""6661f053891a7f072ce79ded"")",1093,"[""ST10000NM0086""]",9
"ObjectId(""6661f053891a7f072ce79dee"")",1118,"[""HGST HUH721212ALN604""]",8
"ObjectId(""6661f053891a7f072ce79def"")",1053,"[""ST8000NM0055"",""TOSHIBA MQ01ABF050M""]",8
"ObjectId(""6661f053891a7f072ce79df0"")",1032,"[""ST8000DM002""]",7
"ObjectId(""6661f053891a7f072ce79df1"")",1090,"[""ST8000NM0055"",""WDC WD5000LPVX"",""TOSHIBA MQ01ABF050""]",7
"ObjectId(""6661f053891a7f072ce79df2"")",1055,"[""ST8000NM0055""]",6
"ObjectId(""6661f053891a7f072ce79df3"")",1066,"[""TOSHIBA MG07ACA14TA""]",6
"ObjectId(""6661f053891a7f072ce79df4"")",1124,"[""HGST HUH721212ALN604""]",5
